trial_id,U_exp,K_exp,D_exp,base_level_fall,divide_migration_distance,relief_at_steady_state,time_back_to_steady_state
2737,-3.5966796875,-5.5048828125,-1.0087890625,0.82080078125,0.0,575.233083385,12323000
2738,-3.5966796875,-5.4755859375,-2.3154296875,0.82080078125,0.0,605.7889372340001,9524000
2739,-3.5966796875,-5.4755859375,-1.0087890625,-0.06689453125,0.0,612.816976984,4359000
2740,-3.5966796875,-5.4755859375,-1.0087890625,0.82080078125,0.0,612.816976984,4359000
2741,-3.2392578125,-6.0048828125,-1.8154296875,0.68310546875,0.0,6610.8228659999995,13594000
2742,-3.0966796875,-6.0048828125,-1.8154296875,0.68310546875,0.0,8934.23180885,13282000
2743,-3.2392578125,-5.9755859375,-1.8154296875,0.68310546875,0.0,6112.57001875,12696000
2744,-3.2392578125,-6.0048828125,-2.5087890625,0.68310546875,0.0,7022.54608697,14255000
2745,-3.2392578125,-6.0048828125,-1.8154296875,1.57080078125,0.0,6610.8228659999995,13594000
2746,-3.2392578125,-5.9755859375,-2.5087890625,1.57080078125,0.0,6749.66261239,13824000
2747,-3.0966796875,-6.0048828125,-2.5087890625,1.57080078125,0.0,9814.21274844,14354000
2748,-3.0966796875,-5.9755859375,-1.8154296875,1.57080078125,0.0,8432.18273363,12613000
2749,-3.0966796875,-5.9755859375,-2.5087890625,0.68310546875,0.0,9129.85441658,13444000
2750,-3.0966796875,-5.9755859375,-2.5087890625,1.57080078125,0.0,9129.85441658,13444000
2751,-4.2392578125,-5.0048828125,-2.8154296875,-0.81689453125,0.0,49.3769614425,7662000
2752,-4.0966796875,-5.0048828125,-2.8154296875,-0.81689453125,0.0,69.0813504899,4332000
2753,-4.2392578125,-6.9755859375,-2.8154296875,-0.81689453125,0.0,2917.77581239,50947000
2754,-4.2392578125,-5.0048828125,-1.5087890625,-0.81689453125,0.0,46.0590218708,5062000
2755,-4.2392578125,-5.0048828125,-2.8154296875,0.07080078125,0.0,49.3769614425,7609000
2756,-4.2392578125,-6.9755859375,-1.5087890625,0.07080078125,0.0,2925.79018516,50947000
2757,-4.0966796875,-5.0048828125,-1.5087890625,0.07080078125,0.0,65.2495721621,5664000
2758,-4.0966796875,-6.9755859375,-2.8154296875,0.07080078125,0.0,4051.93433489,50948000
2759,-4.0966796875,-6.9755859375,-1.5087890625,-0.81689453125,0.0,4062.9590342,50947000
2760,-4.0966796875,-6.9755859375,-1.5087890625,0.07080078125,0.0,4062.9590342,50947000
2761,-4.4892578125,-6.2548828125,-2.0654296875,-0.44189453125,0.0,694.8912115769999,23769000
2762,-4.3466796875,-6.2548828125,-2.0654296875,-0.44189453125,0.0,954.11039971,23621000
2763,-4.4892578125,-6.2255859375,-2.0654296875,-0.44189453125,0.0,658.773025919,22683000
2764,-4.4892578125,-6.2548828125,-2.7587890625,-0.44189453125,0.0,748.607426469,25303000
2765,-4.4892578125,-6.2548828125,-2.0654296875,1.94580078125,800.0,694.8912115769999,36074000
2766,-4.4892578125,-6.2255859375,-2.7587890625,1.94580078125,300.0,714.131255232,35901000
2767,-4.3466796875,-6.2548828125,-2.7587890625,1.94580078125,0.0,1073.08864423,36404000
2768,-4.3466796875,-6.2255859375,-2.0654296875,1.94580078125,200.0,904.915619903,31405000
2769,-4.3466796875,-6.2255859375,-2.7587890625,-0.44189453125,0.0,979.38733005,23966000
2770,-4.3466796875,-6.2255859375,-2.7587890625,1.94580078125,0.0,979.38733005,33887000
2771,-3.4892578125,-5.2548828125,-1.0654296875,1.05810546875,0.0,457.561840188,5891000
2772,-3.3466796875,-5.2548828125,-1.0654296875,1.05810546875,100.0,593.794596163,14555000
2773,-3.4892578125,-5.2255859375,-1.0654296875,1.05810546875,100.0,432.30280923099997,9771000
2774,-3.4892578125,-5.2548828125,-1.7587890625,1.05810546875,100.0,485.291549135,9254000
2775,-3.4892578125,-5.2548828125,-1.0654296875,0.44580078125,0.0,457.561840188,5891000
2776,-3.4892578125,-5.2255859375,-1.7587890625,0.44580078125,0.0,469.47999767,3278000
2777,-3.3466796875,-5.2548828125,-1.7587890625,0.44580078125,0.0,640.411348667,6679000
2778,-3.3466796875,-5.2255859375,-1.0654296875,0.44580078125,0.0,583.804406022,6208000
2779,-3.3466796875,-5.2255859375,-1.7587890625,1.05810546875,0.0,659.861104812,3268000
